date,name,percentage
2015-08-01,SSE4.2,0.7747
2015-08-01,SSE4a,0.2199
2015-09-01,SSE2,0.9999
2015-09-01,SSE3,0.9993
2015-09-01,SSE4.1,0.8196
2015-09-01,SSE4.2,0.7800
2015-09-01,SSE4a,0.2207
2015-10-01,SSE2,0.9999
2015-10-01,SSE3,0.9993
2015-10-01,SSE4.1,0.8258
2015-10-01,SSE4.2,0.7872
2015-10-01,SSE4a,0.2155
2015-11-01,SSE2,0.9999
2015-11-01,SSE3,0.9993
2015-11-01,SSE4.1,0.8312
2015-11-01,SSE4.2,0.7935
2015-11-01,SSE4a,0.2130
2015-12-01,SSE2,0.9999
2015-12-01,SSE3,0.9994
2015-12-01,SSE4.1,0.8333
2015-12-01,SSE4.2,0.7962
2015-12-01,SSE4a,0.2138
2016-01-01,SSE2,0.9999
2016-01-01,SSE3,0.9994
2016-01-01,SSE4.1,0.8337
2016-01-01,SSE4.2,0.7970
2016-01-01,SSE4a,0.2172
2016-02-01,SSE2,0.9999
2016-02-01,SSE3,0.9994
2016-02-01,SSE4.1,0.8364
2016-02-01,SSE4.2,0.8010
2016-02-01,SSE4a,0.2173
2016-02-01,SSSE3 (aka SSE4),0.9012
2016-03-01,SSE2,0.9999
2016-03-01,SSE3,0.9995
2016-03-01,SSE4.1,0.8462
2016-03-01,SSE4.2,0.8121
2016-03-01,SSE4a,0.2128
2016-03-01,SSSE3,0.9072
2016-04-01,SSE2,0.9999
2016-04-01,SSE3,0.9995
2016-04-01,SSE4.1,0.8473
2016-04-01,SSE4.2,0.8133
2016-04-01,SSE4a,0.2116
2016-04-01,SSSE3,0.9082
2016-05-01,AVX,0.6802
2016-05-01,SSE2,0.9999
2016-05-01,SSE3,0.9996
2016-05-01,SSE4.1,0.8528
2016-05-01,SSE4.2,0.8197
2016-05-01,SSE4a,0.2121
2016-05-01,SSSE3,0.9110
2016-06-01,AVX,0.6928
2016-06-01,SSE2,0.9999
2016-06-01,SSE3,0.9996
2016-06-01,SSE4.1,0.8551
2016-06-01,SSE4.2,0.8219
2016-06-01,SSE4a,0.2083
2016-06-01,SSSE3,0.9137
2016-07-01,AVX,0.7013
2016-07-01,SSE2,0.9999
2016-07-01,SSE3,0.9996
2016-07-01,SSE4.1,0.8575
2016-07-01,SSE4.2,0.8256
2016-07-01,SSE4a,0.2084
2016-07-01,SSSE3,0.9149
2016-08-01,AVX,0.7121
2016-08-01,SSE2,0.9999
2016-08-01,SSE3,0.9996
2016-08-01,SSE4.1,0.8635
2016-08-01,SSE4.2,0.8327
2016-08-01,SSE4a,0.2077
2016-08-01,SSSE3,0.9176
2016-09-01,AVX,0.7202
2016-09-01,SSE2,0.9999
2016-09-01,SSE3,0.9996
2016-09-01,SSE4.1,0.8684
2016-09-01,SSE4.2,0.8378
2016-09-01,SSE4a,0.2043
2016-09-01,SSSE3,0.9210
2016-10-01,AVX,0.7256
2016-10-01,SSE2,1.0000
2016-10-01,SSE3,0.9997
2016-10-01,SSE4.1,0.8720
2016-10-01,SSE4.2,0.8417
2016-10-01,SSE4a,0.2012
2016-10-01,SSSE3,0.9230
2016-11-01,AVX,0.7342
2016-11-01,SSE2,0.9999
2016-11-01,SSE3,0.9996
2016-11-01,SSE4.1,0.8768
2016-11-01,SSE4.2,0.8476
2016-11-01,SSE4a,0.1976
2016-11-01,SSSE3,0.9262
2016-12-01,AVX,0.7379
2016-12-01,SSE2,1.0000
2016-12-01,SSE3,0.9997
2016-12-01,SSE4.1,0.8802
2016-12-01,SSE4.2,0.8515
2016-12-01,SSE4a,0.1973
2016-12-01,SSSE3,0.9277
2017-01-01,AVX,0.7389
2017-01-01,SSE2,1.0000
2017-01-01,SSE3,0.9997
2017-01-01,SSE4.1,0.8806
2017-01-01,SSE4.2,0.8526
2017-01-01,SSE4a,0.1989
2017-01-01,SSSE3,0.9276
2017-02-01,AVX,0.7424
2017-02-01,SSE2,1.0000
2017-02-01,SSE3,0.9997
2017-02-01,SSE4.1,0.8821
2017-02-01,SSE4.2,0.8539
2017-02-01,SSE4a,0.2034
2017-02-01,SSSE3,0.9278
2017-03-01,AVX,0.7570
2017-03-01,SSE2,1.0000
2017-03-01,SSE3,0.9997
2017-03-01,SSE4.1,0.8918
2017-03-01,SSE4.2,0.8658
2017-03-01,SSE4a,0.1898
2017-03-01,SSSE3,0.9345
2017-04-01,AVX,0.7652
2017-04-01,SSE2,1.0000
2017-04-01,SSE3,0.9997
2017-04-01,SSE4.1,0.8961
2017-04-01,SSE4.2,0.8710
2017-04-01,SSE4a,0.1891
2017-04-01,SSSE3,0.9367
2017-05-01,AVX,0.7621
2017-05-01,SSE2,1.0000
2017-05-01,SSE3,0.9998
2017-05-01,SSE4.1,0.9003
2017-05-01,SSE4.2,0.8759
2017-05-01,SSE4a,0.1851
2017-05-01,SSSE3,0.9394
2017-06-01,AVX,0.7847
2017-06-01,SSE2,1.0000
2017-06-01,SSE3,0.9998
2017-06-01,SSE4.1,0.9073
2017-06-01,SSE4.2,0.8842
2017-06-01,SSE4a,0.1780
2017-06-01,SSSE3,0.9442
2017-07-01,AVX,0.7786
2017-07-01,SSE2,1.0000
2017-07-01,SSE3,0.9998
2017-07-01,SSE4.1,0.9063
2017-07-01,SSE4.2,0.8836
2017-07-01,SSE4a,0.1817
2017-07-01,SSSE3,0.9429
2017-08-01,AVX,0.8181
2017-08-01,SSE2,1.0000
2017-08-01,SSE3,0.9999
2017-08-01,SSE4.1,0.9220
2017-08-01,SSE4.2,0.9024
2017-08-01,SSE4a,0.1701
2017-08-01,SSSE3,0.9504
2017-09-01,AVX,0.8273
2017-09-01,SSE2,1.0000
2017-09-01,SSE3,0.9999
2017-09-01,SSE4.1,0.9300
2017-09-01,SSE4.2,0.9119
2017-09-01,SSE4a,0.1564
2017-09-01,SSSE3,0.9561
2017-10-01,AVX,0.6796
2017-10-01,SSE2,1.0000
2017-10-01,SSE3,0.9997
2017-10-01,SSE4.1,0.8722
2017-10-01,SSE4.2,0.8398
2017-10-01,SSE4a,0.2976
2017-10-01,SSSE3,0.9190
2017-11-01,AVX,0.9146
2017-11-01,SSE2,1.0000
2017-11-01,SSE3,0.9999
2017-11-01,SSE4.1,0.9669
2017-11-01,SSE4.2,0.9585
2017-11-01,SSE4a,0.0800
2017-11-01,SSSE3,0.9791
2017-12-01,AVX,0.9128
2017-12-01,SSE2,1.0000
2017-12-01,SSE3,0.9999
2017-12-01,SSE4.1,0.9668
2017-12-01,SSE4.2,0.9583
2017-12-01,SSE4a,0.0842
2017-12-01,SSSE3,0.9789
2018-01-01,AVX,0.9224
2018-01-01,SSE2,1.0000
2018-01-01,SSE3,1.0000
2018-01-01,SSE4.1,0.9709
2018-01-01,SSE4.2,0.9633
2018-01-01,SSE4a,0.0778
2018-01-01,SSSE3,0.9816
2018-02-01,AVX,0.9141
2018-02-01,SSE2,1.0000
2018-02-01,SSE3,1.0000
2018-02-01,SSE4.1,0.9675
2018-02-01,SSE4.2,0.9593
2018-02-01,SSE4a,0.0880
2018-02-01,SSSE3,0.9789
2018-03-01,AVX,0.8987
2018-03-01,SSE2,1.0000
2018-03-01,SSE3,1.0000
2018-03-01,SSE4.1,0.9617
2018-03-01,SSE4.2,0.9517
2018-03-01,SSE4a,0.1075
2018-03-01,SSSE3,0.9752
2018-04-01,AVX,0.8608
2018-04-01,SSE2,1.0000
